Rank,Name,Genre,ESRB_Rating,Platform,Publisher,Developer,Critic_Score,User_Score,Total_Shipped,Global_Sales,Year
10398,Sam & Max: Season One,Adventure,T,Wii,The Adventure Company,Telltale Games,7.1,,0.15,0.15,2008.0
10412,Armored Core: For Answer,Simulation,T,X360,Ubisoft,From Software,6.5,,0.15,0.15,2008.0
10416,Gear.Club Unlimited,Racing,E,NS,Microids,Eden Games,6.1,,0.15,0.15,2017.0
10420,SNK Arcade Classics Vol. 1,Misc,T,PSP,SNK Playmore,Terminal Reality,6.7,,0.15,0.15,2008.0
10442,NHL 2K10,Sports,E10,X360,2K Sports,Visual Concepts,6.6,,0.15,0.15,2009.0
10448,Metroid Prime: Federation Force,Action,T,3DS,Nintendo,Next Level Games,6.3,,0.15,0.15,2016.0
10454,The Wizard of Oz: Beyond The Yellow Brick Road,Role-Playing,E,DS,Xseed Games,Media.Vision,6.4,,0.15,0.15,2009.0
10464,MLB 13: The Show,Sports,E,PSV,Sony Computer Entertainment,SCE San Diego Studio,7.6,,0.15,0.15,2013.0
10472,Darkstalkers Chronicle: The Chaos Tower,Fighting,T,PSP,Capcom,Capcom,7.5,,0.15,0.15,2005.0
10495,Thor: God of Thunder,Action,T,PS3,Sega,Liquid Entertainment,3.7,,0.15,0.15,2011.0
10498,Cave Story 3D,Platform,E10,3DS,NIS America,Nicalis,8.2,,0.15,0.15,2011.0
10508,Mega Man Powered Up,Platform,E,PSP,Capcom,Capcom,8.7,,0.14,0.14,2006.0
10516,Spider-Man: Friend or Foe,Action,E10,Wii,Activision,Next Level Games,5.6,,0.14,0.14,2007.0
10522,Heroes of Mana,Strategy,E10,DS,Square Enix,Brownie Brown,6.4,,0.14,0.14,2007.0
10524,Adrenalin Misfits,Racing,E,X360,Konami,Konami,4.7,,0.14,0.14,2010.0
10525,G.I. Joe: The Rise of Cobra,Action,T,PSP,Electronic Arts,Double Helix Games,5.2,,0.14,0.14,2009.0
10527,Thor: God of Thunder,Action,T,X360,Sega,Liquid Entertainment,3.8,,0.14,0.14,2011.0
10532,Class of Heroes,Role-Playing,T,PSP,Atlus,ZeroDiv,5.4,,0.14,0.14,2009.0
10539,Gungnir,Role-Playing,T,PSP,Atlus,Sting,7.4,,0.14,0.14,2012.0
10541,FIFA Street 2,Sports,E,PSP,EA Sports BIG,EA Canada,4.9,,0.14,0.14,2006.0
10552,Hexyz Force,Role-Playing,T,PSP,Atlus,Sting,6.7,,0.14,0.14,2010.0
10582,World Championship Poker: Howard Lederer - All In,Misc,T,PSP,Crave Entertainment,Point of View,5.1,,0.14,0.14,2006.0
10593,Top Spin 4,Sports,E,Wii,2K Sports,2K Czech,4.0,,0.14,0.14,2011.0
10602,Victorious Boxers: Revolution,Fighting,T,Wii,Xseed Games,Cavia Inc.,5.8,,0.14,0.14,2007.0
10625,Gretzky NHL 06,Sports,E10,PSP,Sony Computer Entertainment,Page 44 Studios,5.8,,0.14,0.14,2005.0
10656,South Park: The Fractured But Whole,Role-Playing,M,NS,Ubisoft,Ubisoft San Francisco,9.5,9.5,0.14,0.14,2018.0
10659,Risen 2: Dark Waters,Role-Playing,M,X360,Deep Silver,Piranha Bytes,5.5,,0.14,0.14,2012.0
10662,TRINITY: Souls of Zill O'll,Role-Playing,T,PS3,Tecmo Koei,Omega Force,5.5,,0.14,0.14,2011.0
10670,Virtua Tennis 4,Sports,E,Wii,Sega,Sega-AM2,5.2,,0.14,0.14,2011.0
10693,"Holy Invasion of Privacy, Badman! What Did I Do to Deserve This?",Role-Playing,T,PSP,NIS America,Acquire,6.9,,0.14,0.14,2009.0
10707,X-Blades,Action,M,X360,SouthPeak Interactive,Gaijin Entertainment,6.0,,0.14,0.14,2009.0
10715,Just Cause,Action,M,X360,Eidos Interactive,Avalanche Studios,7.3,,0.14,0.14,2006.0
10744,Eragon,Action,T,X360,Sierra Entertainment,Stormfront Studios,4.2,,0.14,0.14,2006.0
10747,Secret Agent Clank,Platform,E10,PSP,Sony Computer Entertainment,High Impact Games,7.0,,0.14,0.14,2008.0
10753,BIT.TRIP SAGA,Platform,E,3DS,Aksys Games,Gaijin Games Inc.,7.5,,0.14,0.14,2011.0
10754,How to Train Your Dragon,Action,E10,X360,Activision,Etranges Libellules,4.6,,0.14,0.14,2010.0
10778,Blazing Angels 2: Secret Missions of WWII,Simulation,T,X360,Ubisoft,Ubisoft Romania,7.6,,0.14,0.14,2007.0
10779,Rodea the Sky Soldier,Action-Adventure,E10,WiiU,NIS America,Kadokawa Games,7.0,,0.14,0.14,2015.0
10781,NBA 2K13,Sports,E,WiiU,2K Sports,Visual Concepts,7.6,,0.14,0.14,2012.0
10790,Create,Misc,E,X360,Electronic Arts,EA Bright Light,6.3,,0.14,0.14,2010.0
10796,Hard Rock Casino,Misc,T,PSP,Crave Entertainment,Crave Entertainment,3.8,,0.14,0.14,2007.0
10799,Robots,Action,E,DS,VU Games,Amaze Entertainment,4.5,,0.14,0.14,2005.0
10804,Valhalla Knights: Eldar Saga,Role-Playing,T,Wii,Xseed Games,K2 / Kurogane,3.5,7.9,0.14,0.14,2009.0
10811,Bust-A-Move Deluxe,Puzzle,E,PSP,Majesco,Dreams,7.1,,0.14,0.14,2006.0
10820,Scene It? Bright Lights! Big Screen!,Misc,T,X360,Warner Bros. Interactive,Screenlife Games,6.2,,0.14,0.14,2009.0
10829,Metal Slug 7,Shooter,T,DS,Ignition Entertainment,SNK Playmore Corporation,6.9,,0.14,0.14,2008.0
10834,World Championship Poker 2: Featuring Howard Lederer,Misc,T,PSP,Crave Entertainment,Point of View,7.0,,0.14,0.14,2005.0
10841,MotoGP '06,Racing,E,X360,THQ,Climax Studios,8.3,,0.14,0.14,2006.0
10843,Metal Gear Solid V: Ground Zeroes,Action-Adventure,M,X360,Konami Digital Entertainment,Kojima Productions,8.3,,0.14,0.14,2014.0
10844,G.I. Joe: The Rise of Cobra,Action,E10,DS,Electronic Arts,Fall Line Studio,5.6,,0.14,0.14,2009.0
10846,Naruto Shippuden: Kizuna Drive,Action,T,PSP,Namco Bandai,Bandai Namco Games,7.0,,0.14,0.14,2011.0
10849,X-Blades,Action,M,PS3,SouthPeak Interactive,Gaijin Entertainment,5.9,,0.14,0.14,2009.0
10859,Rogue Warrior,Shooter,M,PS3,Bethesda Softworks,Rebellion Developments,2.5,,0.13,0.13,2009.0
10860,Open Season,Platform,E,DS,Ubisoft,Ubisoft Montreal,7.4,,0.13,0.13,2006.0
10868,Kung Fu Panda 2,Action,E10,Wii,THQ,THQ,3.0,,0.13,0.13,2011.0
10888,My Spanish Coach,Misc,E,PSP,Ubisoft,Sensory Sweep Studios,7.0,,0.13,0.13,2008.0
10909,Destroy All Humans! Big Willy Unleashed,Action,T,Wii,THQ,Locomotive Games,5.3,,0.13,0.13,2008.0
10910,Lord of the Rings: Tactics,Strategy,T,PSP,Electronic Arts,Amaze Entertainment,6.9,,0.13,0.13,2005.0
10911,Divinity II: The Dragon Knight Saga,Role-Playing,M,X360,Atlus,Larian Studios,7.5,,0.13,0.13,2011.0
10922,Supremacy MMA,Fighting,M,PS3,505 Games,Kung Fu Factory,5.0,,0.13,0.13,2011.0
10935,Legendary,Shooter,M,PS3,Gamecock,Spark Unlimited,4.0,,0.13,0.13,2008.0
10953,Anno 1701: Dawn of Discovery,Simulation,E,DS,Ubisoft,Sunflower Studios,8.0,,0.13,0.13,2008.0
10967,Phantom Brave: We Meet Again,Role-Playing,T,Wii,NIS America,Nippon Ichi Software,7.6,,0.13,0.13,2009.0
10974,Nickelodeon Kart Racers,Racing,E,NS,GameMill Entertainment,Solutions 2 Go,2.0,,0.13,0.13,2018.0
10978,BlazBlue: Continuum Shift II,Fighting,T,PSP,Aksys Games,Arc System Works,7.5,,0.13,0.13,2011.0
11011,Rumble Roses XX,Fighting,M,X360,Konami,Yuke's Future Media Creators,6.5,,0.13,0.13,2006.0
11020,Yu-Gi-Oh! GX: Tag Force,Strategy,E,PSP,Konami,Konami,6.0,,0.13,0.13,2006.0
11028,Dead to Rights: Reckoning,Shooter,M,PSP,Namco,Rebellion Developments,5.2,,0.13,0.13,2005.0
11034,Venetica,Role-Playing,T,X360,Atari,DECK13 Interactive,5.2,,0.13,0.13,2011.0
11062,007: Quantum of Solace,Action,T,DS,Activision,Vicarious Visions,6.3,,0.13,0.13,2008.0
11090,Eat Lead: The Return of Matt Hazard,Shooter,T,PS3,D3 Publisher,Vicious Cycle,5.3,,0.13,0.13,2009.0
11100,Star Wars: Lethal Alliance,Adventure,T,PSP,Ubisoft,Ubisoft Montreal,6.3,,0.13,0.13,2006.0
